date,os,visits
1/26/2022,iOS,21188151
1/26/2022,Windows,16901013
1/26/2022,Android,11623188
1/26/2022,Windows,5213818
1/26/2022,Macintosh,4170686
1/26/2022,Macintosh,3180638
1/26/2022,iOS,1941077
1/26/2022,Windows,1472212
1/26/2022,Chrome OS,1359573
1/26/2022,Android,1325655
1/26/2022,iOS,833027
1/26/2022,Windows,799973
1/26/2022,Android,761809
1/26/2022,Linux,509202
1/26/2022,Macintosh,282826
1/26/2022,Windows,123016
1/26/2022,Android,118848
1/26/2022,Android,112439
1/26/2022,Linux,105837
1/26/2022,iOS,98030
1/26/2022,Android,67619
1/26/2022,(not set),65797
1/26/2022,iOS,42295
1/26/2022,Macintosh,28976
1/26/2022,Linux,28841
1/26/2022,Macintosh,16760
1/26/2022,Android,16689
1/26/2022,Android,15305
1/26/2022,Windows,13963
1/26/2022,Windows,12169
1/26/2022,(not set),10543
1/26/2022,Macintosh,9615
1/26/2022,Linux,8337
1/26/2022,(not set),7527
1/26/2022,(not set),4615
1/26/2022,Linux,3992
1/26/2022,Android,3180
1/26/2022,Windows,3032
1/26/2022,Linux,2977
1/26/2022,(not set),2786
1/26/2022,(not set),2660
1/26/2022,Android,2470
1/26/2022,Windows,2466
1/26/2022,Tizen,2101
1/26/2022,(not set),2013
1/26/2022,(not set),1978
1/26/2022,OS/2,1768
1/26/2022,iOS,1619
1/26/2022,Android,1193
1/26/2022,BlackBerry,1038
1/26/2022,(not set),1004
1/26/2022,iOS,957
1/26/2022,Playstation 4,887
1/26/2022,Windows,844
1/26/2022,iOS,821
1/26/2022,(not set),771
1/26/2022,(not set),717
1/26/2022,Windows,701
1/26/2022,(not set),697
1/26/2022,Android,696
1/26/2022,(not set),662
1/26/2022,Android,662
1/26/2022,Macintosh,662
1/26/2022,iOS,628
1/26/2022,Windows Phone,596
1/26/2022,(not set),560
1/26/2022,Android,557
1/26/2022,(not set),445
1/26/2022,(not set),444
1/26/2022,(not set),413
1/26/2022,(not set),408
1/26/2022,(not set),389
1/26/2022,(not set),377
1/26/2022,iOS,365
1/26/2022,(not set),365
1/26/2022,(not set),363
1/26/2022,Firefox OS,360
1/26/2022,Android,339
1/26/2022,(not set),333
1/26/2022,iOS,319
1/26/2022,(not set),317
1/26/2022,iOS,306
1/26/2022,iOS,287
1/26/2022,Linux,287
1/26/2022,UNIX,286
1/26/2022,iOS,279
1/26/2022,Android,269
1/26/2022,(not set),252
1/26/2022,Windows Phone,233
1/26/2022,FreeBSD,224
1/26/2022,(not set),197
1/26/2022,BlackBerry,183
1/26/2022,(not set),180
1/26/2022,iOS,176
1/26/2022,(not set),173
1/26/2022,Linux,169
1/26/2022,(not set),151
1/26/2022,(not set),150
1/26/2022,Samsung,138
1/26/2022,(not set),136
1/26/2022,(not set),135
1/26/2022,(not set),133
1/26/2022,Windows,130
1/26/2022,Playstation 3,125
1/26/2022,Windows,111
1/26/2022,Linux,101
1/26/2022,Macintosh,98
1/26/2022,(not set),95
1/26/2022,iOS,92
1/26/2022,iOS,91
1/26/2022,Linux,86
1/26/2022,Macintosh,83
1/26/2022,(not set),79
1/26/2022,iOS,78
1/26/2022,iOS,77
1/26/2022,Tizen,75
1/26/2022,OpenBSD,73
1/26/2022,Xbox,71
1/26/2022,iOS,70
1/26/2022,Windows,69
1/26/2022,NetBSD,67
1/26/2022,(not set),64
1/26/2022,(not set),63
1/26/2022,Android,63
1/26/2022,Windows,59
1/26/2022,(not set),58
1/26/2022,Android,56
1/26/2022,Android,55
1/26/2022,(not set),54
1/26/2022,iOS,52
1/26/2022,Macintosh,51
1/26/2022,(not set),49
1/26/2022,(not set),46
1/26/2022,Linux,46
1/26/2022,(not set),45
1/26/2022,(not set),44
1/26/2022,iOS,42
1/26/2022,(not set),41
1/26/2022,iOS,39
1/26/2022,Windows,38
1/26/2022,(not set),38
1/26/2022,Android,38
1/26/2022,Android,38
1/26/2022,Linux,37
1/26/2022,SymbianOS,36
1/26/2022,(not set),36
1/26/2022,iOS,35
1/26/2022,SunOS,34
1/26/2022,(not set),34
1/26/2022,Sony,33
1/26/2022,Android,33
1/26/2022,(not set),31
1/26/2022,Android,31
1/26/2022,(not set),29
1/26/2022,Linux,29
1/26/2022,(not set),28
1/26/2022,(not set),28
1/26/2022,iOS,27
1/26/2022,(not set),27
1/26/2022,(not set),26
1/26/2022,Android,26
1/26/2022,Android,26
1/26/2022,iOS,26
1/26/2022,Android,26
1/26/2022,(not set),23
1/26/2022,Macintosh,23
1/26/2022,(not set),22
1/26/2022,NetBSD,21
1/26/2022,(not set),21
1/26/2022,iOS,21
1/26/2022,FreeBSD,20
1/26/2022,OpenBSD,19
1/26/2022,Android,19
1/26/2022,Playstation Vita,19
1/26/2022,(not set),19
1/26/2022,(not set),18
1/26/2022,(not set),17
1/26/2022,Linux,17
1/26/2022,(not set),16
1/26/2022,(not set),15
1/26/2022,Nokia,15
1/26/2022,(not set),15
1/26/2022,iOS,14
1/26/2022,(not set),14
1/26/2022,(not set),14
1/26/2022,(not set),14
1/26/2022,SymbianOS,14
1/26/2022,(not set),14
1/26/2022,Tizen,13
1/26/2022,OS/2,13
1/26/2022,Macintosh,13
1/26/2022,(not set),12
1/26/2022,(not set),12
1/26/2022,Windows,12
1/26/2022,Nintendo 3DS,12
1/26/2022,(not set),12
1/26/2022,(not set),12
1/26/2022,SymbianOS,11
1/26/2022,(not set),11
1/26/2022,(not set),11
1/26/2022,SymbianOS,11
1/26/2022,(not set),11
1/26/2022,(not set),11
1/27/2022,iOS,20970892
1/27/2022,Windows,16766509
1/27/2022,Android,11918790
1/27/2022,Windows,5088434
1/27/2022,Macintosh,4045182
1/27/2022,Macintosh,3081867
1/27/2022,iOS,1927077
1/27/2022,Windows,1452271
1/27/2022,Chrome OS,1383215
1/27/2022,Android,1319703
1/27/2022,iOS,787246
1/27/2022,Windows,770690
1/27/2022,Android,726409
1/27/2022,Linux,590990
1/27/2022,Macintosh,276307
1/27/2022,Windows,123782
1/27/2022,Android,117858
1/27/2022,Linux,111516
1/27/2022,Android,111235
1/27/2022,iOS,98178
1/27/2022,Android,70015
1/27/2022,(not set),65375
1/27/2022,iOS,41207
1/27/2022,Macintosh,29895
1/27/2022,Linux,29323
1/27/2022,Macintosh,16677
1/27/2022,Android,16557
1/27/2022,Android,14778
1/27/2022,Windows,12436
1/27/2022,Linux,11303
1/27/2022,(not set),10545
1/27/2022,Macintosh,9358
1/27/2022,(not set),7538
1/27/2022,Windows,7533
1/27/2022,(not set),4920
1/27/2022,Linux,4200
1/27/2022,(not set),4102
1/27/2022,Android,3340
1/27/2022,Linux,2975
1/27/2022,Windows,2647
1/27/2022,Windows,2543
1/27/2022,Android,2473
1/27/2022,Tizen,2294
1/27/2022,(not set),2014
1/27/2022,(not set),1829
1/27/2022,OS/2,1800
1/27/2022,iOS,1541
1/27/2022,Android,1304
1/27/2022,Windows,1155
1/27/2022,(not set),1001
1/27/2022,(not set),997
1/27/2022,BlackBerry,983
1/27/2022,Playstation 4,895
1/27/2022,iOS,884
1/27/2022,iOS,817
1/27/2022,(not set),715
1/27/2022,Windows,711
1/27/2022,(not set),709
1/27/2022,(not set),704
1/27/2022,Android,638
1/27/2022,Android,605
1/27/2022,(not set),565
1/27/2022,iOS,556
1/27/2022,Windows Phone,522
1/27/2022,(not set),488
1/27/2022,Macintosh,483
1/27/2022,Android,476
1/27/2022,iOS,462
1/27/2022,(not set),410
1/27/2022,(not set),355
1/27/2022,iOS,331
1/27/2022,iOS,331
1/27/2022,Android,327
1/27/2022,(not set),317
1/27/2022,UNIX,305
1/27/2022,Firefox OS,303
1/27/2022,(not set),302
1/27/2022,Android,301
1/27/2022,Linux,283
1/27/2022,(not set),282
1/27/2022,(not set),269
1/27/2022,FreeBSD,256
1/27/2022,(not set),254
1/27/2022,(not set),252
1/27/2022,iOS,201
1/27/2022,(not set),195
1/27/2022,iOS,192
1/27/2022,Windows Phone,191
1/27/2022,Tizen,178
1/27/2022,BlackBerry,176
1/27/2022,(not set),162
1/27/2022,(not set),160
1/27/2022,(not set),151
1/27/2022,Samsung,143
1/27/2022,(not set),142
1/27/2022,Linux,135
1/27/2022,(not set),132
1/27/2022,(not set),130
1/27/2022,Windows,128
1/27/2022,(not set),116
1/27/2022,Linux,116
1/27/2022,Windows,112
1/27/2022,(not set),109
1/27/2022,(not set),99
1/27/2022,iOS,96
1/27/2022,Macintosh,95
1/27/2022,Windows,95
1/27/2022,(not set),94
1/27/2022,(not set),94
1/27/2022,iOS,88
1/27/2022,iOS,82
1/27/2022,(not set),81
1/27/2022,Macintosh,80
1/27/2022,Playstation 3,77
1/27/2022,OpenBSD,76
1/27/2022,(not set),75
1/27/2022,Xbox,68
1/27/2022,(not set),67
1/27/2022,(not set),64
1/27/2022,iOS,60
1/27/2022,NetBSD,58
1/27/2022,Linux,55
1/27/2022,Android,54
1/27/2022,(not set),52
1/27/2022,iOS,51
1/27/2022,Macintosh,51
1/27/2022,Linux,49
1/27/2022,Windows,47
1/27/2022,Windows,46
1/27/2022,iOS,45
1/27/2022,Android,45
1/27/2022,Android,44
1/27/2022,iOS,41
1/27/2022,iOS,39
1/27/2022,Android,38
1/27/2022,(not set),37
1/27/2022,(not set),37
1/27/2022,(not set),36
1/27/2022,iOS,34
1/27/2022,SymbianOS,34
1/27/2022,NetBSD,33
1/27/2022,Linux,33
1/27/2022,(not set),32
1/27/2022,Android,32
1/27/2022,(not set),31
1/27/2022,(not set),28
1/27/2022,(not set),28
1/27/2022,Nintendo 3DS,28
1/27/2022,OpenBSD,27
1/27/2022,iOS,25
1/27/2022,SunOS,25
1/27/2022,(not set),25
1/27/2022,iOS,25
1/27/2022,(not set),24
1/27/2022,(not set),23
1/27/2022,Linux,23
1/27/2022,(not set),22
1/27/2022,Android,22
1/27/2022,(not set),22
1/27/2022,Android,22
1/27/2022,(not set),22
1/27/2022,(not set),21
1/27/2022,iOS,21
1/27/2022,(not set),20
1/27/2022,(not set),20
1/27/2022,(not set),20
1/27/2022,iOS,19
1/27/2022,Android,19
1/27/2022,Windows,19
1/27/2022,Android,19
1/27/2022,Android,19
1/27/2022,(not set),18
1/27/2022,Android,18
1/27/2022,Macintosh,18
1/27/2022,Tizen,18
1/27/2022,Tizen,17
1/27/2022,(not set),16
1/27/2022,iOS,16
1/27/2022,(not set),16
1/27/2022,(not set),16
1/27/2022,(not set),15
1/27/2022,(not set),14
1/27/2022,(not set),14
1/27/2022,(not set),14
1/27/2022,(not set),14
1/27/2022,(not set),13
1/27/2022,BlackBerry,13
1/27/2022,(not set),12
1/27/2022,(not set),12
1/27/2022,(not set),11
1/27/2022,(not set),11
1/27/2022,Windows,11
1/28/2022,iOS,19965472
1/28/2022,Windows,14599147
1/28/2022,Android,11595330
1/28/2022,Windows,4462829
1/28/2022,Macintosh,3650846
1/28/2022,Macintosh,2626327
1/28/2022,iOS,1845977
1/28/2022,Windows,1333458
1/28/2022,Android,1270417
1/28/2022,Chrome OS,1164698
1/28/2022,iOS,740403
1/28/2022,Android,687725
1/28/2022,Windows,654969
1/28/2022,Linux,537740
1/28/2022,Macintosh,247916
1/28/2022,Android,117038
1/28/2022,Windows,114787
1/28/2022,Android,110537
1/28/2022,iOS,99610
1/28/2022,Linux,95364
1/28/2022,Android,64844
1/28/2022,(not set),61011
1/28/2022,iOS,41670
1/28/2022,Linux,27938
1/28/2022,Macintosh,27027
1/28/2022,Android,15706
1/28/2022,Android,15040
1/28/2022,Macintosh,14678
1/28/2022,Windows,11390
1/28/2022,Linux,10434
1/28/2022,(not set),10307
1/28/2022,Macintosh,8433
1/28/2022,(not set),7513
1/28/2022,(not set),5024
